Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.241 0.464 -9.943 |-1.343 -0.061 0.061 |18875
-0.229 0.455 -9.864 |-1.282 -0.061 -0.122 |17541
-0.220 0.472 -9.886 |-1.221 -0.061 -0.183 |16625
-0.244 0.496 -9.919 |-1.221 -0.061 -0.061 |16292
-0.249 0.503 -9.931 |-1.221 -0.061 -0.061 |16333
-0.234 0.472 -9.952 |-1.221 -0.183 0.000 |20000
-0.215 0.460 -9.964 |-1.221 -0.244 -0.244 |19000
-0.201 0.462 -9.936 |-1.282 -0.183 -0.244 |16209
-0.232 0.469 -9.921 |-1.282 -0.183 -0.244 |16250
-0.244 0.469 -9.969 |-1.343 -0.122 -0.122 |18542
-0.239 0.472 -9.921 |-1.343 -0.183 -0.061 |17500
-0.263 0.467 -9.879 |-1.343 -0.183 -0.061 |233458
-0.265 0.467 -9.926 |-1.343 -0.183 -0.122 |20958
-0.246 0.460 -9.912 |-1.282 -0.122 -0.122 |18167
-0.251 0.474 -9.898 |-1.282 -0.122 -0.122 |16875
-0.251 0.481 -9.976 |-1.404 -0.061 -0.122 |16833
-0.258 0.467 -9.985 |-1.465 -0.122 -0.122 |16458
-0.225 0.486 -9.938 |-1.404 -0.244 -0.183 |17125
-0.184 0.474 -9.895 |-1.343 -0.244 -0.122 |16959
-0.206 0.481 -9.881 |-1.343 -0.122 -0.061 |19458
-0.229 0.481 -9.912 |-1.343 -0.061 -0.061 |16458
-0.229 0.460 -9.912 |-1.282 -0.122 0.000 |17292
-0.227 0.448 -9.888 |-1.282 -0.122 -0.122 |16583
-0.194 0.472 -9.890 |-1.343 0.061 -0.244 |16333
-0.194 0.472 -9.890 |-1.404 0.122 -0.244 |16291
-0.172 0.472 -9.898 |-1.526 0.061 -0.061 |16292
-0.206 0.460 -9.938 |-1.465 0.000 0.061 |16875
-0.208 0.486 -9.933 |-1.343 0.000 -0.061 |16417
-0.203 0.491 -9.905 |-1.282 -0.122 -0.122 |16458
-0.227 0.467 -9.926 |-1.282 -0.122 -0.122 |16541
-0.225 0.481 -9.890 |-1.343 -0.244 0.000 |16000
-0.196 0.510 -9.869 |-1.526 -0.183 0.183 |15959
-0.191 0.493 -9.833 |-1.526 0.000 0.061 |15958
-0.196 0.512 -9.855 |-1.343 0.061 -0.061 |17042
-0.215 0.527 -9.943 |-1.160 -0.061 -0.122 |17125
-0.225 0.507 -9.950 |-1.038 -0.183 -0.122 |17459
-0.201 0.498 -9.933 |-1.099 -0.183 -0.061 |16834
-0.198 0.491 -9.926 |-1.221 -0.183 -0.183 |16208
-0.225 0.515 -9.905 |-1.221 -0.061 -0.183 |16833
-0.225 0.515 -9.905 |-1.221 -0.061 -0.061 |16625
-0.265 0.524 -9.886 |-1.221 0.000 -0.061 |16042
-0.263 0.498 -9.869 |-1.282 0.000 -0.122 |16083
-0.232 0.464 -9.931 |-1.343 -0.061 -0.183 |56417
-0.203 0.507 -9.902 |-1.404 -0.061 -0.061 |56000
-0.189 0.522 -9.852 |-1.282 -0.122 0.061 |57125
-0.225 0.488 -9.924 |-1.160 -0.122 -0.061 |57292
-0.244 0.500 -9.905 |-1.099 -0.244 -0.122 |56458
-0.232 0.488 -9.924 |-1.343 -0.061 -0.305 |56250
-0.208 0.486 -9.938 |-1.282 -0.061 -0.183 |56000
-0.194 0.498 -9.940 |-1.221 0.061 -0.122 |56875
-0.237 0.531 -9.955 |-1.038 -0.183 -0.305 |54833
-0.251 0.500 -9.950 |-1.099 -0.183 -0.061 |57000
-0.234 0.548 -9.964 |-1.099 -0.183 0.061 |16792
-0.225 0.498 -9.974 |-1.038 -0.122 0.061 |16959
-0.218 0.488 -9.947 |-1.038 -0.122 0.061 |16958
-0.210 0.503 -9.943 |-1.099 -0.183 0.000 |16416
-0.210 0.503 -9.943 |-1.160 -0.183 -0.061 |16375
-0.203 0.496 -9.978 |-1.160 -0.122 -0.244 |16375
-0.218 0.498 -10.014 |-1.099 -0.122 -0.305 |23375
-0.198 0.505 -9.940 |-0.977 -0.183 -0.244 |16042
-0.184 0.493 -9.928 |-0.977 -0.183 -0.244 |15959
-0.218 0.493 -9.940 |-0.977 -0.183 -0.061 |16709
-0.256 0.527 -9.924 |-1.099 -0.122 0.000 |16209
-0.253 0.543 -9.959 |-1.038 -0.244 -0.061 |16208
-0.222 0.524 -9.936 |-0.916 -0.244 -0.183 |16333
-0.241 0.515 -9.914 |-0.732 -0.244 -0.122 |16250
-0.241 0.531 -9.876 |-0.610 -0.244 -0.122 |16334
-0.249 0.541 -9.876 |-0.671 -0.244 -0.122 |16084
-0.270 0.534 -9.921 |-0.854 -0.244 -0.183 |22584
