Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.022 9.877 -0.273 |0.122 -0.732 -0.061 |56709
-0.024 9.877 -0.311 |0.061 -0.793 -0.122 |16875
-0.005 9.822 -0.285 |-0.061 -0.916 -0.061 |16875
-0.005 9.807 -0.271 |-0.122 -0.916 -0.061 |17125
-0.007 9.841 -0.266 |-0.122 -0.854 0.061 |16625
0.005 9.867 -0.261 |-0.122 -0.793 0.122 |16583
-0.014 9.858 -0.245 |-0.244 -0.732 0.061 |16458
-0.038 9.858 -0.219 |-0.244 -0.793 0.000 |16084
-0.022 9.891 -0.169 |-0.183 -0.916 -0.061 |16292
-0.010 9.865 -0.192 |-0.244 -0.854 -0.122 |16709
-0.060 9.896 -0.276 |-0.183 -0.671 0.061 |55917
-0.050 9.889 -0.257 |0.000 -0.671 0.122 |17125
-0.038 9.867 -0.223 |0.061 -0.732 0.061 |55416
-0.043 9.860 -0.257 |0.122 -0.732 -0.061 |17000
-0.029 9.858 -0.276 |0.061 -0.854 -0.183 |16375
-0.038 9.870 -0.245 |0.000 -0.854 -0.183 |56625
-0.060 9.860 -0.242 |-0.061 -0.732 -0.061 |16750
-0.017 9.865 -0.283 |-0.061 -0.671 0.122 |16750
0.000 9.862 -0.299 |-0.061 -0.732 0.183 |16458
-0.010 9.836 -0.264 |-0.061 -0.793 0.061 |16583
-0.012 9.841 -0.240 |-0.061 -0.793 -0.122 |16708
0.000 9.850 -0.261 |-0.122 -0.793 -0.183 |15834
-0.014 9.858 -0.252 |-0.183 -0.732 -0.183 |15875
-0.010 9.850 -0.242 |-0.061 -0.793 -0.061 |16667
0.019 9.838 -0.242 |0.000 -0.916 0.000 |16250
-0.036 9.886 -0.247 |0.122 -0.916 -0.061 |16458
-0.043 9.874 -0.276 |0.122 -0.854 0.000 |16375
0.007 9.846 -0.259 |0.122 -0.854 0.061 |16625
0.012 9.843 -0.233 |0.061 -0.854 -0.061 |16458
0.005 9.824 -0.254 |0.000 -0.854 -0.183 |16500
0.005 9.824 -0.254 |0.061 -0.854 -0.122 |16541
0.002 9.843 -0.216 |-0.061 -0.854 -0.122 |16375
-0.033 9.870 -0.259 |-0.061 -0.854 0.000 |56166
-0.026 9.819 -0.249 |0.061 -0.793 -0.061 |21833
-0.012 9.817 -0.235 |0.183 -0.793 -0.244 |19083
-0.024 9.800 -0.257 |0.244 -0.793 -0.305 |16958
-0.024 9.800 -0.257 |0.244 -0.793 -0.183 |16583
-0.022 9.843 -0.259 |0.244 -0.916 -0.061 |16417
-0.019 9.879 -0.230 |0.244 -0.916 -0.122 |16292
-0.017 9.896 -0.211 |0.183 -0.916 -0.183 |16417
-0.010 9.855 -0.266 |0.183 -0.977 -0.183 |240625
-0.010 9.829 -0.242 |0.244 -0.977 0.061 |22500
-0.007 9.853 -0.240 |0.244 -0.977 0.122 |17958
-0.010 9.867 -0.280 |0.305 -0.916 -0.122 |80791
-0.010 9.879 -0.278 |0.305 -0.916 -0.183 |18917
-0.055 9.858 -0.333 |0.244 -0.977 -0.061 |16959
-0.055 9.858 -0.333 |0.244 -0.977 0.000 |16375
-0.022 9.812 -0.325 |0.305 -0.977 -0.061 |16375
0.033 9.807 -0.314 |0.305 -0.916 -0.061 |16625
-0.002 9.824 -0.340 |0.305 -0.916 -0.061 |16458
-0.038 9.862 -0.304 |0.305 -0.916 -0.061 |17000
-0.031 9.886 -0.238 |0.305 -0.916 -0.122 |56250
-0.038 9.867 -0.226 |0.427 -0.854 -0.183 |16000
-0.053 9.855 -0.221 |0.366 -0.854 -0.244 |16125
