Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.103 -0.551 -9.883 |0.183 0.061 -0.122 |16792
-0.103 -0.551 -9.883 |0.061 0.000 -0.244 |16750
-0.096 -0.524 -9.926 |0.000 -0.122 -0.305 |16500
-0.088 -0.531 -9.995 |0.061 -0.061 -0.305 |16458
-0.086 -0.548 -9.912 |0.122 0.061 -0.244 |16875
-0.067 -0.505 -9.902 |0.122 0.061 -0.244 |16625
-0.079 -0.505 -9.936 |0.061 -0.122 0.000 |56709
-0.112 -0.507 -9.974 |-0.061 -0.244 -0.061 |16750
-0.105 -0.517 -9.931 |-0.061 -0.244 -0.244 |16417
-0.062 -0.553 -9.905 |-0.122 -0.244 -0.183 |16291
-0.041 -0.536 -9.950 |0.000 -0.122 0.000 |56084
-0.081 -0.515 -9.981 |0.000 -0.061 0.122 |16750
-0.122 -0.493 -9.978 |0.061 -0.183 0.000 |16584
-0.081 -0.567 -9.924 |0.000 0.061 -0.305 |42208
-0.081 -0.543 -9.947 |0.000 0.000 -0.183 |19375
-0.088 -0.531 -9.931 |0.000 -0.061 -0.244 |52125
-0.098 -0.515 -9.966 |0.000 -0.183 -0.061 |32375
-0.088 -0.496 -9.966 |0.122 -0.061 -0.183 |21125
-0.096 -0.541 -9.950 |0.061 -0.122 -0.061 |31083
-0.108 -0.512 -9.943 |0.183 -0.122 0.000 |55875
-0.086 -0.529 -9.950 |0.244 -0.061 -0.183 |32375
-0.084 -0.500 -9.962 |0.244 -0.061 -0.122 |32166
-0.081 -0.515 -9.950 |0.122 -0.061 -0.122 |20208
-0.110 -0.510 -9.964 |0.122 0.000 -0.183 |31625
-0.098 -0.527 -9.898 |0.061 -0.061 -0.183 |19625
-0.086 -0.534 -9.909 |0.061 -0.122 -0.183 |31916
-0.081 -0.536 -9.933 |0.061 -0.183 -0.122 |128500
-0.103 -0.551 -9.883 |0.000 0.000 0.000 |50834
-0.084 -0.524 -9.879 |0.000 0.061 -0.244 |31500
-0.086 -0.503 -9.855 |-0.061 0.061 -0.244 |20083
-0.098 -0.510 -9.850 |-0.061 0.061 -0.061 |30583
-0.117 -0.527 -9.905 |0.000 0.000 0.000 |28333
-0.122 -0.512 -9.919 |0.000 -0.122 0.000 |22209
-0.122 -0.524 -9.928 |0.000 -0.122 -0.122 |31875
-0.127 -0.539 -9.964 |0.000 -0.061 -0.183 |50250
-0.067 -0.579 -9.943 |0.000 -0.122 -0.244 |32875
-0.067 -0.555 -9.928 |0.000 -0.122 -0.183 |33459
-0.088 -0.546 -9.940 |-0.122 -0.183 -0.122 |29041
