Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
9.787 0.127 -0.010 |1.343 -0.305 0.244 |16084
9.787 0.139 0.021 |1.282 -0.366 0.122 |16208
9.787 0.139 0.021 |1.282 -0.305 0.000 |16583
9.789 0.129 -0.074 |1.404 -0.305 0.000 |16542
9.789 0.117 -0.040 |1.343 -0.305 -0.061 |16791
9.798 0.091 0.007 |1.343 -0.366 -0.122 |16917
9.794 0.117 -0.074 |1.343 -0.427 0.000 |16458
9.810 0.139 -0.121 |1.343 -0.427 0.000 |15917
9.798 0.117 -0.097 |1.343 -0.427 0.061 |18625
9.775 0.101 -0.074 |1.404 -0.305 -0.061 |16792
9.770 0.115 -0.074 |1.404 -0.305 -0.305 |17042
9.763 0.136 -0.078 |1.343 -0.366 -0.244 |16792
9.782 0.124 -0.036 |1.282 -0.488 -0.061 |18041
9.787 0.108 -0.014 |1.282 -0.488 0.000 |16750
9.770 0.108 -0.055 |1.343 -0.488 0.061 |16833
9.763 0.129 -0.048 |1.343 -0.366 0.061 |16333
9.758 0.122 -0.040 |1.282 -0.305 0.061 |16459
9.755 0.101 -0.048 |1.221 -0.244 0.122 |16750
9.760 0.098 -0.019 |1.160 -0.305 0.122 |57083
9.763 0.098 -0.071 |1.221 -0.244 0.000 |16333
9.784 0.089 -0.143 |1.160 -0.244 -0.061 |16583
9.796 0.093 -0.116 |1.221 -0.305 -0.122 |16416
9.779 0.117 -0.052 |1.404 -0.427 -0.061 |16541
9.765 0.129 -0.045 |1.404 -0.427 -0.061 |16250
9.746 0.103 -0.071 |1.465 -0.366 -0.061 |16667
9.755 0.091 -0.078 |1.404 -0.244 0.000 |19417
9.779 0.113 -0.074 |1.282 -0.305 0.000 |16917
9.767 0.115 -0.067 |1.221 -0.305 0.000 |55417
9.755 0.098 -0.026 |1.282 -0.244 -0.061 |16917
9.743 0.101 -0.043 |1.343 -0.244 -0.183 |16583
9.767 0.098 -0.055 |1.343 -0.366 -0.183 |16458
9.820 0.091 -0.069 |1.343 -0.427 -0.122 |230000
9.806 0.077 -0.140 |1.343 -0.427 -0.122 |19292
9.765 0.089 -0.102 |1.404 -0.427 0.000 |16334
9.767 0.120 -0.078 |1.282 -0.427 0.061 |69458
9.789 0.115 -0.086 |1.160 -0.427 0.000 |17000
9.787 0.079 -0.021 |1.099 -0.427 -0.122 |16958
9.770 0.057 -0.036 |1.160 -0.427 -0.183 |15917
9.751 0.079 -0.119 |1.343 -0.427 -0.244 |16042
9.772 0.077 -0.152 |1.343 -0.488 -0.244 |16083
9.808 0.077 -0.088 |1.282 -0.549 -0.122 |17875
9.787 0.079 0.000 |1.343 -0.549 -0.061 |56541
9.743 0.101 -0.038 |1.343 -0.610 0.122 |16709
9.767 0.117 -0.105 |1.282 -0.610 0.000 |16500
9.779 0.074 -0.074 |1.282 -0.732 -0.122 |16458
9.772 0.060 -0.050 |1.221 -0.732 -0.183 |16375
9.796 0.077 -0.057 |1.160 -0.549 -0.244 |16250
9.818 0.120 -0.040 |1.160 -0.549 -0.244 |16417
9.813 0.139 -0.038 |1.221 -0.427 -0.183 |21375
9.796 0.113 -0.050 |1.343 -0.549 -0.122 |56959
9.784 0.129 -0.105 |1.282 -0.549 -0.061 |16375
9.787 0.103 -0.076 |1.282 -0.488 -0.122 |16958
9.798 0.113 -0.043 |1.343 -0.549 -0.183 |16209
9.784 0.139 -0.021 |1.343 -0.671 -0.122 |16167
9.798 0.132 -0.048 |1.343 -0.610 -0.061 |16625
9.796 0.098 -0.019 |1.343 -0.549 -0.122 |16417
9.765 0.093 -0.012 |1.404 -0.549 -0.183 |16166
9.765 0.093 -0.012 |1.343 -0.488 -0.122 |16417
9.772 0.117 -0.064 |1.343 -0.488 -0.122 |16209
9.767 0.110 -0.048 |1.404 -0.549 -0.122 |16417
9.789 0.101 -0.059 |1.465 -0.610 -0.061 |16375
9.791 0.105 -0.069 |1.404 -0.610 -0.183 |55042
9.765 0.110 -0.095 |1.282 -0.610 -0.305 |16584
9.739 0.084 -0.040 |1.343 -0.732 -0.244 |16792
9.753 0.089 -0.017 |1.404 -0.793 -0.061 |16583
9.791 0.122 -0.043 |1.343 -0.793 0.000 |16417
9.791 0.122 -0.043 |1.221 -0.732 -0.061 |16458
9.782 0.113 -0.078 |1.282 -0.732 -0.183 |16333
9.791 0.069 -0.057 |1.343 -0.793 -0.244 |16166
9.791 0.060 -0.055 |1.343 -0.793 -0.244 |16250
9.746 0.096 -0.086 |1.282 -0.732 -0.122 |57167
9.775 0.129 -0.090 |1.221 -0.732 -0.122 |16375
9.796 0.141 -0.074 |1.221 -0.854 -0.061 |22375
9.815 0.139 -0.069 |1.221 -0.854 -0.061 |18042
9.748 0.129 -0.036 |1.343 -0.793 0.061 |16125
9.722 0.127 -0.007 |1.404 -0.671 0.061 |16084
9.741 0.151 -0.012 |1.404 -0.488 0.061 |16333
9.770 0.105 -0.048 |1.282 -0.427 0.061 |16667
9.794 0.067 -0.076 |1.343 -0.427 -0.061 |17917
9.760 0.091 -0.076 |1.404 -0.549 -0.061 |16583
9.753 0.108 -0.095 |1.343 -0.671 0.000 |17125
9.770 0.120 -0.088 |1.221 -0.732 0.183 |16375
9.775 0.089 -0.078 |1.282 -0.671 0.122 |16791
9.775 0.113 -0.090 |1.343 -0.549 -0.061 |16459
9.746 0.141 -0.109 |1.343 -0.427 -0.183 |16166
9.748 0.093 -0.071 |1.221 -0.427 -0.061 |16500
9.772 0.098 -0.052 |1.160 -0.732 0.122 |16375
9.772 0.098 -0.052 |1.282 -0.854 0.183 |16083
9.775 0.103 -0.038 |1.282 -0.671 0.061 |16583
9.755 0.091 -0.052 |1.343 -0.488 -0.061 |16584
9.739 0.084 -0.109 |1.343 -0.549 -0.061 |16666
9.758 0.077 -0.131 |1.343 -0.549 -0.061 |16292
9.770 0.115 -0.076 |1.221 -0.732 -0.122 |16625
9.784 0.160 -0.071 |1.099 -0.793 -0.122 |16250
9.791 0.151 -0.083 |1.160 -0.732 -0.122 |16541
9.765 0.136 -0.059 |1.160 -0.610 -0.122 |16500
9.755 0.129 -0.067 |1.282 -0.549 -0.122 |16416
9.758 0.117 -0.026 |1.343 -0.488 -0.244 |16292
9.777 0.101 -0.050 |1.343 -0.488 -0.183 |22000
9.791 0.077 -0.088 |1.282 -0.488 0.000 |17375
9.777 0.081 -0.026 |1.343 -0.488 0.061 |16667
9.787 0.084 0.002 |1.343 -0.549 0.061 |18000
9.782 0.065 -0.086 |1.282 -0.549 0.000 |16584
9.765 0.084 -0.131 |1.099 -0.488 -0.061 |17125
9.772 0.115 -0.107 |1.038 -0.549 -0.122 |16833
9.806 0.105 -0.095 |1.160 -0.549 -0.183 |16666
9.806 0.105 -0.095 |1.282 -0.488 -0.183 |16958
9.806 0.096 -0.093 |1.404 -0.427 -0.183 |16625
9.784 0.108 -0.105 |1.343 -0.549 -0.244 |16458
9.767 0.127 -0.095 |1.221 -0.610 -0.244 |56167
9.791 0.101 -0.128 |1.282 -0.610 -0.122 |16458
9.803 0.096 -0.076 |1.282 -0.488 0.000 |16167
9.775 0.122 -0.040 |1.282 -0.427 -0.061 |16375
9.787 0.134 -0.055 |1.282 -0.427 -0.122 |16417
9.813 0.156 -0.083 |1.343 -0.488 -0.061 |16542
9.767 0.151 -0.076 |1.282 -0.488 0.000 |16375
9.760 0.108 -0.071 |1.282 -0.549 -0.061 |16333
9.758 0.115 -0.114 |1.282 -0.549 -0.183 |16417
9.751 0.139 -0.124 |1.282 -0.305 -0.183 |262125
9.794 0.096 -0.109 |1.221 -0.366 -0.183 |22625
9.791 0.124 -0.050 |1.160 -0.488 -0.122 |16958
9.789 0.139 -0.017 |1.221 -0.427 -0.061 |56541
9.770 0.122 -0.019 |1.160 -0.244 -0.061 |16708
9.770 0.122 -0.019 |1.282 -0.366 -0.061 |16500
9.782 0.120 -0.036 |1.343 -0.366 0.000 |16333
9.794 0.151 -0.069 |1.343 -0.488 0.061 |16125
9.794 0.141 -0.105 |1.282 -0.610 0.000 |16458
9.789 0.141 -0.064 |1.221 -0.488 0.061 |22750
9.806 0.148 -0.043 |1.160 -0.305 0.061 |17750
9.818 0.105 -0.033 |1.099 -0.305 0.000 |55500
9.787 0.101 -0.097 |1.221 -0.305 -0.122 |17292
9.767 0.089 -0.069 |1.282 -0.366 -0.183 |16584
9.758 0.108 -0.036 |1.343 -0.427 -0.183 |16292
9.767 0.136 -0.029 |1.282 -0.427 -0.122 |16709
9.767 0.136 -0.029 |1.221 -0.366 0.000 |427375
9.779 0.117 -0.057 |1.099 -0.366 0.122 |20375
9.784 0.067 -0.043 |0.977 -0.305 0.122 |18209
9.782 0.081 -0.024 |1.038 -0.244 0.122 |17875
9.789 0.127 -0.100 |1.160 -0.244 0.000 |17000
9.789 0.115 -0.112 |1.282 -0.305 -0.061 |16917
9.763 0.103 -0.040 |1.282 -0.488 0.000 |16792
9.736 0.156 -0.036 |1.282 -0.610 0.061 |16541
9.736 0.156 -0.036 |1.221 -0.488 0.000 |16375
9.779 0.160 -0.078 |1.221 -0.366 -0.183 |16041
9.798 0.117 -0.121 |1.221 -0.366 -0.183 |16500
9.791 0.117 -0.102 |1.099 -0.427 -0.061 |17208
9.813 0.113 -0.048 |1.038 -0.488 -0.061 |16458
9.791 0.086 -0.036 |1.038 -0.427 -0.122 |16500
9.779 0.057 -0.021 |1.160 -0.305 0.000 |16000
9.810 0.089 -0.036 |1.160 -0.305 0.000 |17291
9.820 0.103 -0.086 |1.221 -0.305 0.244 |16458
9.808 0.101 -0.107 |1.221 -0.305 0.244 |16542
9.808 0.103 -0.095 |1.099 -0.366 0.000 |21458
9.791 0.069 -0.064 |1.038 -0.122 -0.122 |55875
9.767 0.079 -0.040 |1.099 -0.122 0.061 |16667
9.782 0.115 -0.109 |1.221 -0.244 0.061 |16541
9.775 0.156 -0.119 |1.221 -0.366 -0.183 |16125
9.743 0.168 -0.057 |1.160 -0.427 -0.183 |16625
9.743 0.139 -0.045 |1.160 -0.427 0.000 |16334
9.772 0.144 -0.088 |1.160 -0.427 0.000 |16125
9.770 0.122 -0.112 |1.099 -0.366 0.000 |16500
9.758 0.105 -0.088 |1.099 -0.244 0.000 |16208
9.775 0.117 -0.059 |1.099 -0.183 0.061 |17500
9.796 0.096 -0.036 |1.038 -0.122 0.000 |56792
9.794 0.096 -0.083 |1.099 -0.244 0.000 |16125
9.784 0.103 -0.128 |1.099 -0.244 0.000 |16000
