Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.060 9.858 -0.318 |0.488 -0.122 0.122 |18959
-0.055 9.853 -0.257 |0.427 -0.183 0.000 |55708
-0.036 9.850 -0.261 |0.366 -0.122 -0.061 |16708
-0.038 9.846 -0.268 |0.366 -0.061 0.061 |16500
-0.065 9.836 -0.264 |0.305 0.000 0.122 |16625
-0.065 9.836 -0.264 |0.244 -0.061 0.122 |16792
-0.053 9.831 -0.323 |0.244 -0.061 0.122 |16792
-0.045 9.834 -0.371 |0.305 -0.122 0.122 |16666
-0.069 9.846 -0.299 |0.244 -0.183 0.183 |16166
-0.072 9.855 -0.240 |0.183 -0.244 0.183 |16334
-0.031 9.858 -0.309 |0.183 -0.244 0.183 |16250
0.002 9.872 -0.283 |0.183 -0.244 0.061 |16708
-0.010 9.874 -0.264 |0.305 -0.244 -0.061 |17209
-0.014 9.855 -0.318 |0.366 -0.244 -0.122 |191542
0.007 9.874 -0.287 |0.427 -0.244 0.000 |16875
0.007 9.877 -0.228 |0.305 -0.244 0.000 |16833
-0.005 9.862 -0.266 |0.183 -0.183 -0.183 |16500
0.002 9.836 -0.323 |0.183 -0.183 -0.183 |16167
-0.029 9.803 -0.264 |0.183 -0.122 -0.122 |16708
-0.033 9.827 -0.207 |0.244 0.061 -0.183 |22666
-0.019 9.853 -0.233 |0.305 0.061 -0.183 |19833
-0.012 9.872 -0.278 |0.244 0.061 -0.122 |56375
-0.062 9.877 -0.316 |0.244 0.061 -0.183 |16917
-0.084 9.901 -0.273 |0.305 0.000 -0.122 |22333
-0.069 9.867 -0.268 |0.366 0.000 -0.122 |17750
-0.048 9.829 -0.302 |0.366 0.000 -0.183 |17125
-0.045 9.827 -0.335 |0.305 0.000 -0.244 |16458
-0.057 9.827 -0.344 |0.366 -0.061 -0.183 |36375
-0.014 9.846 -0.318 |0.305 -0.122 0.183 |55334
-0.017 9.836 -0.306 |0.183 0.000 0.061 |31375
-0.012 9.827 -0.306 |0.061 -0.061 0.000 |834209
-0.014 9.870 -0.261 |0.244 -0.061 0.000 |33458
-0.017 9.879 -0.276 |0.061 0.000 0.061 |255625
-0.019 9.817 -0.266 |0.183 0.000 0.183 |55959
-0.026 9.824 -0.290 |0.183 0.000 0.122 |38750
-0.019 9.867 -0.309 |0.183 0.061 0.000 |33084
-0.007 9.855 -0.328 |0.183 -0.061 0.122 |32125
-0.014 9.889 -0.321 |0.122 0.122 0.122 |40000
-0.045 9.858 -0.271 |0.183 0.183 0.122 |39167
-0.031 9.834 -0.285 |0.122 -0.061 0.061 |39417
-0.043 9.838 -0.325 |0.061 0.000 0.000 |33375
-0.031 9.855 -0.302 |0.122 0.000 0.122 |36500
-0.005 9.838 -0.276 |0.183 0.061 -0.061 |36833
-0.012 9.865 -0.278 |0.183 0.000 -0.061 |33291
-0.007 9.889 -0.304 |0.183 0.061 -0.122 |33042
-0.007 9.858 -0.261 |0.122 0.122 -0.061 |32291
-0.045 9.860 -0.280 |0.183 0.000 0.000 |35666
-0.002 9.858 -0.276 |0.183 -0.122 0.000 |33750
0.007 9.855 -0.314 |0.183 -0.061 -0.122 |35291
-0.079 9.843 -0.271 |0.122 -0.061 -0.244 |33667
-0.055 9.882 -0.292 |0.122 0.000 -0.305 |34208
-0.017 9.874 -0.261 |0.244 0.122 -0.061 |24541
-0.022 9.834 -0.230 |0.061 0.183 0.000 |18792
-0.074 9.815 -0.273 |0.061 0.183 0.000 |17209
-0.067 9.827 -0.349 |0.061 0.061 0.000 |18000
-0.019 9.831 -0.368 |0.122 0.000 -0.122 |16667
-0.002 9.843 -0.316 |0.244 0.061 -0.183 |16500
-0.012 9.865 -0.295 |0.305 0.122 0.061 |29959
-0.010 9.848 -0.314 |0.244 0.061 0.000 |19292
-0.002 9.846 -0.280 |0.122 0.061 0.000 |20375
-0.029 9.858 -0.280 |0.061 0.000 0.000 |17541
-0.048 9.855 -0.311 |0.061 0.000 0.000 |18833
-0.053 9.846 -0.287 |0.000 0.061 0.000 |17416
-0.045 9.831 -0.209 |0.000 0.000 -0.061 |16708
-0.053 9.829 -0.214 |0.000 0.122 0.000 |17000
-0.048 9.829 -0.273 |0.061 0.061 0.183 |16584
-0.031 9.858 -0.252 |0.061 0.061 0.183 |17500
-0.041 9.872 -0.204 |0.000 0.122 0.061 |16875
-0.031 9.848 -0.235 |-0.061 0.000 -0.061 |16417
-0.031 9.870 -0.259 |-0.061 -0.061 0.000 |16583
-0.041 9.884 -0.238 |0.000 -0.122 0.183 |55708
-0.014 9.843 -0.271 |0.122 0.000 0.305 |16416
-0.022 9.822 -0.330 |0.244 0.122 0.183 |16750
-0.045 9.848 -0.323 |0.244 0.183 0.061 |16208
-0.038 9.860 -0.268 |0.122 0.183 0.000 |16542
-0.041 9.838 -0.261 |0.000 0.122 -0.061 |16875
-0.038 9.829 -0.264 |0.000 0.061 -0.061 |16875
-0.038 9.829 -0.264 |0.061 0.000 0.061 |16750
-0.036 9.843 -0.268 |0.061 0.000 0.122 |16958
-0.033 9.860 -0.252 |0.061 0.061 0.061 |16375
-0.019 9.879 -0.207 |0.061 0.061 0.000 |16625
-0.012 9.894 -0.268 |0.000 0.061 0.000 |56000
0.002 9.862 -0.276 |-0.061 0.061 0.061 |17000
-0.005 9.817 -0.299 |-0.122 0.122 0.061 |17125
-0.017 9.827 -0.264 |-0.183 0.183 -0.061 |16667
-0.029 9.862 -0.249 |-0.183 0.244 -0.122 |16709
-0.053 9.858 -0.230 |-0.183 0.122 0.000 |16541
-0.055 9.855 -0.271 |-0.122 0.000 0.122 |17000
-0.045 9.848 -0.245 |-0.122 0.061 0.122 |22709
-0.057 9.860 -0.202 |-0.122 0.122 0.061 |17375
-0.060 9.860 -0.223 |0.061 0.122 0.000 |55833
-0.024 9.882 -0.219 |0.061 0.122 -0.061 |16667
-0.024 9.906 -0.273 |0.061 0.122 -0.061 |16625
-0.033 9.886 -0.352 |-0.061 0.122 0.061 |17125
-0.024 9.862 -0.335 |-0.061 0.122 0.244 |16416
-0.010 9.824 -0.309 |0.000 0.061 0.305 |17042
-0.024 9.838 -0.278 |0.000 0.183 0.061 |17333
-0.057 9.860 -0.276 |0.000 0.183 0.000 |16250
-0.031 9.862 -0.268 |0.000 0.183 0.061 |16500
-0.031 9.834 -0.238 |0.000 0.122 0.000 |16833
-0.053 9.829 -0.268 |0.000 0.122 -0.122 |17000
-0.043 9.846 -0.292 |0.000 0.122 -0.122 |56000
-0.038 9.822 -0.299 |0.000 0.122 -0.122 |16959
-0.038 9.791 -0.247 |0.000 0.244 -0.122 |16917
-0.026 9.805 -0.240 |-0.061 0.244 -0.061 |16917
-0.043 9.819 -0.271 |-0.122 0.244 -0.061 |16709
-0.050 9.850 -0.264 |0.122 0.244 0.122 |24542
-0.026 9.838 -0.261 |0.122 0.244 0.122 |17834
-0.005 9.819 -0.283 |0.061 0.305 0.183 |16541
-0.005 9.862 -0.280 |-0.122 0.305 0.122 |16459
-0.012 9.836 -0.247 |-0.061 0.000 0.183 |55708
-0.017 9.803 -0.283 |-0.122 0.000 0.061 |16750
-0.012 9.838 -0.304 |-0.061 0.061 -0.122 |22750
-0.029 9.824 -0.283 |-0.061 0.122 -0.061 |18542
-0.036 9.815 -0.311 |0.000 0.122 0.000 |17708
-0.036 9.815 -0.311 |0.000 0.122 0.061 |16667
-0.062 9.819 -0.302 |-0.122 0.061 0.000 |17125
-0.048 9.827 -0.285 |-0.183 0.061 -0.061 |16416
-0.069 9.865 -0.306 |-0.244 0.122 -0.122 |17167
-0.048 9.872 -0.330 |-0.244 0.122 -0.122 |16833
-0.014 9.850 -0.290 |-0.305 0.305 0.061 |23958
-0.033 9.836 -0.292 |-0.244 0.244 -0.061 |18334
-0.031 9.831 -0.285 |-0.183 0.183 -0.244 |16375
-0.050 9.860 -0.271 |-0.122 0.122 0.000 |17541
-0.055 9.867 -0.280 |-0.122 0.122 0.000 |16750
-0.029 9.836 -0.309 |-0.061 0.183 0.244 |16209
-0.033 9.831 -0.285 |0.000 0.305 0.122 |16458
-0.050 9.846 -0.242 |-0.061 0.244 0.000 |16209
-0.048 9.817 -0.228 |-0.122 0.183 -0.061 |16625
-0.050 9.817 -0.221 |-0.183 0.183 -0.122 |16625
-0.050 9.867 -0.249 |-0.244 0.244 -0.183 |16125
-0.038 9.860 -0.280 |-0.244 0.244 -0.061 |18917
-0.065 9.884 -0.302 |-0.244 0.244 0.061 |17042
-0.038 9.889 -0.261 |-0.183 0.244 0.122 |16583
0.002 9.855 -0.242 |-0.244 0.305 0.061 |16583
-0.026 9.841 -0.287 |-0.183 0.305 0.061 |16667
-0.026 9.841 -0.287 |-0.122 0.244 0.122 |16792
-0.012 9.834 -0.306 |-0.061 0.122 0.061 |24000
-0.038 9.858 -0.252 |-0.061 0.183 0.000 |19750
-0.029 9.836 -0.330 |-0.122 0.305 -0.061 |17792
-0.024 9.848 -0.392 |-0.244 0.244 0.000 |17000
-0.024 9.848 -0.392 |-0.366 0.183 0.122 |56167
-0.062 9.841 -0.347 |-0.244 0.183 0.000 |16167
-0.076 9.824 -0.299 |-0.244 0.183 0.000 |16250
-0.057 9.858 -0.249 |-0.122 0.305 -0.061 |16500
-0.057 9.884 -0.247 |-0.244 0.244 -0.061 |21625
-0.053 9.865 -0.283 |-0.305 0.183 -0.061 |20125
-0.045 9.846 -0.273 |-0.244 0.183 -0.061 |17583
-0.033 9.829 -0.254 |-0.122 0.183 -0.061 |16875
-0.031 9.834 -0.273 |-0.244 0.183 -0.122 |18500
-0.024 9.836 -0.268 |-0.305 0.305 -0.183 |19875
-0.038 9.884 -0.271 |-0.305 0.305 -0.122 |17167
-0.041 9.896 -0.295 |-0.244 0.244 -0.061 |55375
-0.014 9.855 -0.349 |-0.244 0.427 -0.122 |56541
0.005 9.865 -0.314 |-0.305 0.427 -0.061 |55833
-0.010 9.855 -0.318 |-0.061 0.427 -0.061 |56625
-0.019 9.858 -0.278 |-0.122 0.305 -0.061 |56208
-0.053 9.870 -0.330 |-0.122 0.366 0.000 |56333
-0.017 9.855 -0.254 |-0.366 0.305 0.122 |56625
-0.012 9.867 -0.318 |-0.305 0.305 0.061 |16125
